tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,120,351333.653700,3.129537,12.518243
iteracion,121,355338.874100,3.094262,12.377143
iteracion,122,346167.047600,3.176246,12.705080
iteracion,123,351784.936400,3.125522,12.502184
iteracion,124,346059.423600,3.177234,12.709031
iteracion,125,351966.608300,3.123909,12.495731
iteracion,126,345821.440100,3.179420,12.717777
iteracion,127,352417.950900,3.119908,12.479728
iteracion,128,346171.444600,3.176205,12.704919
iteracion,129,351745.427300,3.125873,12.503588
iteracion,130,346181.953500,3.176109,12.704533
iteracion,131,351577.681900,3.127365,12.509554
iteracion,132,346281.692000,3.175194,12.700874
iteracion,133,351538.865200,3.127710,12.510935
iteracion,134,345924.206900,3.178476,12.713999
iteracion,135,351687.603100,3.126387,12.505644
iteracion,136,346282.823700,3.175184,12.700832
iteracion,137,352065.561500,3.123031,12.492219
iteracion,138,346162.670300,3.176286,12.705241
iteracion,139,351621.927600,3.126971,12.507980
iteracion,140,346014.687900,3.177644,12.710674
iteracion,141,351663.878700,3.126598,12.506488
iteracion,142,346076.993700,3.177072,12.708386
iteracion,143,351696.529200,3.126308,12.505327
iteracion,144,345921.549500,3.178500,12.714097
iteracion,145,352260.128400,3.121306,12.485319
iteracion,146,348974.252000,3.150696,12.602878
iteracion,147,354924.402000,3.097876,12.391597
iteracion,148,347127.607300,3.167457,12.669923
iteracion,149,352029.981300,3.123347,12.493482
iteracion,150,345946.455000,3.178271,12.713181
iteracion,151,351507.780000,3.127987,12.512042
iteracion,152,348872.975100,3.151610,12.606537
iteracion,153,356978.503000,3.080050,12.320294
iteracion,154,348396.093400,3.155924,12.623793
iteracion,155,352118.574500,3.122561,12.490338
iteracion,156,346559.972700,3.172645,12.690675
iteracion,157,352242.229500,3.121465,12.485953
iteracion,158,346810.191200,3.170356,12.681519
iteracion,159,352283.613000,3.121098,12.484487
iteracion,160,346652.095900,3.171801,12.687303
iteracion,161,352265.492400,3.121258,12.485129
iteracion,162,347075.427100,3.167933,12.671828
iteracion,163,352498.748900,3.119193,12.476867
iteracion,164,346480.422300,3.173373,12.693589
iteracion,165,351993.219200,3.123673,12.494786
iteracion,166,346630.572900,3.171998,12.688090
iteracion,167,352147.712200,3.122302,12.489305
iteracion,168,346813.963800,3.170321,12.681381
iteracion,169,352218.741900,3.121673,12.486786
