iter,tiempo_ms,gflops
214,2163.436500,127.056147
215,2163.273500,127.065721
216,2163.491900,127.052894
217,2163.305200,127.063859
218,2163.337800,127.061944
219,2163.346000,127.061463
220,2163.411300,127.057627
221,2163.514200,127.051584
222,2163.387700,127.059013
223,2163.480000,127.053593
224,2163.446400,127.055566
225,2163.384100,127.059225
226,2163.416100,127.057346
227,2163.375500,127.059730
228,2163.481000,127.053534
229,2163.456000,127.055002
230,2163.398300,127.058391
231,2163.439300,127.055983
232,2163.447000,127.055531
233,2163.461400,127.054685
234,2163.492700,127.052847
235,2163.405800,127.057950
236,2163.435900,127.056183
237,2163.322500,127.062843
238,2163.448000,127.055472
239,2165.045500,126.961723
240,2163.457800,127.054897
241,2163.427500,127.056676
242,2163.410100,127.057698
243,2163.485900,127.053246
244,2163.433200,127.056341
245,2163.416400,127.057328
246,2163.435500,127.056206
247,2163.393700,127.058661
248,2163.340600,127.061780
249,2163.348000,127.061345
250,2163.498000,127.052536
251,2163.435100,127.056230
252,2163.468500,127.054268
253,2163.443700,127.055725
254,2187.977900,125.631025
255,2211.195800,124.311880
256,2197.244500,125.101192
257,2271.587900,121.006943
258,2229.686100,123.280989
259,2202.472000,124.804269
260,2188.775100,125.585268
261,2167.959500,126.791071
262,2177.503100,126.235369
263,2167.264000,126.831760
264,2203.017100,124.773388
265,2186.728900,125.702782
266,2190.240000,125.501272
267,2176.910600,126.269727
268,2178.738100,126.163813
269,2187.593000,125.653130
270,2186.312000,125.726752
271,2173.855400,126.447190
272,2171.318200,126.594944
273,2169.679700,126.690547
274,2189.307900,125.554705
275,2246.452600,122.360876
276,2228.173400,123.364684
277,2216.037100,124.040300
278,2164.489400,126.994342
279,2165.193300,126.953056
280,2168.163900,126.779118
281,2166.718300,126.863703
282,2167.953400,126.791428
283,2177.020300,126.263364
284,2163.381000,127.059407
285,2169.778300,126.684789
286,2163.708200,127.040193
287,2182.898800,125.923340
288,2164.988500,126.965066
289,2163.588600,127.047215
290,2163.524000,127.051009
291,2163.473500,127.053975
292,2163.778500,127.036065
293,2163.486900,127.053188
294,2164.824600,126.974678
295,2163.519400,127.051279
296,2163.699000,127.040733
297,2164.068400,127.019048
298,2163.549400,127.049517
299,2163.534800,127.050375
300,2163.517500,127.051391
301,2163.892200,127.029390
302,2163.870000,127.030694
303,2163.408200,127.057809
304,2163.566300,127.048525
305,2163.486000,127.053240
306,2163.775200,127.036259
307,2163.829600,127.033065
308,2163.602700,127.046387
309,2163.414400,127.057445
310,2163.563800,127.048672
311,2164.005400,127.022745
312,2164.022500,127.021742
313,2163.503000,127.052242
314,2163.570600,127.048272
315,2163.539200,127.050116
316,2163.850500,127.031838
317,2163.510900,127.051778
318,2163.452500,127.055208
319,2163.569200,127.048355
320,2163.827100,127.033212
321,2165.223900,126.951262
322,2163.851400,127.031786
323,2163.369900,127.060059
324,2163.468500,127.054268
325,2163.524400,127.050985
326,2163.949400,127.026033
327,2163.544200,127.049823
328,2170.669100,126.632800
329,2168.728100,126.746136
330,2165.308800,126.946284
331,2164.027800,127.021431
332,2163.460600,127.054732
333,2163.533300,127.050463
334,2163.372900,127.059883
335,2163.941600,127.026490
336,2163.532800,127.050492
337,2163.425200,127.056811
338,2288.909100,120.091229
339,2237.263200,122.863464
340,2175.061400,126.377079
341,2178.177400,126.196290
342,2208.948100,124.438373
343,2189.880100,125.521898
344,2187.296200,125.670180
345,2193.694800,125.303623
346,2166.769200,126.860723
347,2265.060600,121.355652
348,2229.003400,123.318747
349,2209.937600,124.382655
350,2188.143200,125.621535
351,2191.014200,125.456926
352,2166.808700,126.858410
353,2164.115000,127.016312
354,2163.847300,127.032026
355,2164.875600,126.971687
356,2163.543600,127.049858
357,2163.444400,127.055683
358,2163.518700,127.051320
359,2163.905700,127.028598
360,2163.944900,127.026297
361,2163.484600,127.053323
362,2163.456400,127.054979
363,2163.495400,127.052688
364,2163.660800,127.042976
365,2163.910900,127.028293
366,2163.615600,127.045630
367,2163.445400,127.055625
368,2163.574800,127.048026
369,2163.460600,127.054732
370,2163.495300,127.052694
371,2163.898200,127.029038
372,2164.004700,127.022786
373,2163.986400,127.023861
374,2163.412400,127.057563
375,2163.484100,127.053352
376,2165.010600,126.963770
377,2163.506100,127.052060
378,2163.484600,127.053323
379,2163.853600,127.031656
380,2163.342600,127.061662
381,2163.549200,127.049529
382,2163.427700,127.056664
383,2163.477400,127.053745
384,2163.947200,127.026162
385,2163.493000,127.052829
386,2163.522900,127.051073
387,2163.595100,127.046834
388,2163.477200,127.053757
389,2163.874300,127.030441
390,2163.907600,127.028486
391,2163.443500,127.055736
392,2163.483500,127.053387
393,2163.660300,127.043005
394,2167.827900,126.798768
395,2163.871900,127.030582
396,2165.900700,126.911592
397,2163.825500,127.033306
398,2163.664100,127.042782
